"Search Keyword","Users","Sessions","Searches"
"_00d61jgc4._5008y1urnz4",1,1,"1"
"_apply tables are appearing in target  metadata database;",1,1,"1"
"_sqldf",1,1,"1"
"_success file is missing when writing .orc file",1,1,"1"
"a job that typically runs for 6 minutes only, ran for 58 hours this time",1,1,"1"
"a piece of code in one of the notebooks has been behaving erratically",1,1,"1"
"a previously working query stopped working",1,1,"1"
"a retriable error occurred whilea ttempting to download a result file from the cloud store but the retry limi had been exceed",1,1,"1"
"a/b testing on databricks",1,1,"1"
"aaa",1,1,"1"
"aaa 3agest data lake issue",1,1,"1"
"aad token for jdbc odbc",1,1,"1"
"abhilash-dp90",1,1,"1"
"ability to execute table_changes query in sql endpoint",1,1,"1"
"ability to specify different vm instance types based by schedule",1,1,"1"
"aborted job due to connectivity/memory issues",1,1,"1"
"about query speed",1,1,"1"
"about serverless sql",1,1,"1"
"about sql execute error after databricks workspace creation",1,1,"1"
"about the specification to output the audit log to s3",1,1,"1"
"abstractmethoderror while calling an udaf  inherited from collect in pyspark platform",1,1,"1"
"academy",1,1,"1"
"academy 403 error",1,1,"1"
"academy payments not working",1,1,"1"
"acccount admin - additional user",1,1,"1"
"access",1,1,"1"
"access a s3 file by notebook",1,1,"1"
"access all tables under a schema",1,1,"1"
"access and tokens unexpectedly dropped from workspace",1,1,"1"
"access azure data lake storage gen2 container files in  r notebook",1,1,"1"
"access control list input not working for job api",1,1,"1"
"access dbfs default storage path is timing out | arr sr# 2204070050000512",1,1,"1"
"access deere artifactory/repository from databricks",1,1,"1"
"access deleted cluster configuration",1,1,"1"
"access denied error when writing from rdd to s3",1,1,"1"
"access denied to a bucket in databricks",1,1,"1"
"access denied to s3",1,1,"1"
"access denied when writing logs to an s3 bucke",1,1,"1"
"access denied when writing logs to an s3 bucket",1,1,"1"
"access denied when writing to an s3 bucket using rdd",1,1,"1"
"access denied while creating a global init script",1,1,"1"
"access files moved to trash",1,1,"1"
"access free customer training",1,1,"1"
"access issues for s3 mounts",1,1,"1"
"access notebook",1,1,"1"
"access request to riotgames.cloud.databricks.com (allowlist)",1,1,"1"
"access s3 bucket in different accounts",1,1,"1"
"access s3 using spark",1,1,"1"
"access snowflake",1,1,"1"
"access table from power bi root folder name is different for two users",1,1,"1"
"access the account console (e2)",1,1,"1"
"access to kwargs parameters in python wheel job",1,1,"1"
"access to manage account",1,1,"1"
"access to non-admins to ""create and trigger a one-time run""",1,1,"1"
"access token",1,1,"1"
"access workspace",1,1,"1"
"access workspace to check version differences in notebook",1,1,"1"
"accessdeniedexception in one of the query",1,1,"1"
"accessing aws athena from databricks",1,1,"1"
"accessing aws codeartifact",1,1,"1"
"accessing aws location services from databricks using boto3",1,1,"1"
"accessing container reports no credentials error",1,1,"1"
"accessing databricks workspace from power bi through service principle token",1,1,"1"
"accessing s3 data in e2 as tables",1,1,"1"
"account api access",1,1,"1"
"account console cannot log in",1,1,"1"
"account console permission issue",1,1,"1"
"account e1",1,1,"1"
"account id",1,1,"1"
"account level user and service principal lost admin role",1,1,"1"
"account manager",1,1,"1"
"account network cloud configuration unable to delete",1,1,"1"
"account owner emailid change request",1,1,"1"
"account owner transfer",1,1,"1"
"account rep",1,1,"1"
"account sso timeout",1,1,"1"
"account withdrawal",1,1,"1"
"account-level groups ui issues",1,1,"1"
"accounts api authentication",1,1,"1"
"accounts api create workspace call fails every time in new oem databricks account",1,1,"1"
"accounts console sso not working",1,1,"1"
"accreditation credentilas",1,1,"1"
"acessing databases using mlflow projects and databricks",1,1,"1"
"acl - direct files read",1,1,"1"
"acl clusters tcp ports security query",1,1,"1"
"acl datadog",1,1,"1"
"acris_listener_job failed",1,1,"1"
"activate secret in db-connect",1,1,"1"
"activity logs",1,1,"1"
"ad group user not able to access",1,1,"1"
"adb - adb is not working - 2206160060001434",1,1,"1"
"adb clusters not getting on",1,1,"1"
"adb dynamic floating ip's",1,1,"1"
"adb | genie | intermittent delta streaming merge error: cannot broadcast the table that is larger than 8gb - 2204130010003560",1,1,"1"
"add additional ip to whitelist",1,1,"1"
"add admin users to databricks support portal",1,1,"1"
"add awsprofilename for amazon msk library",1,1,"1"
"add comment to column create table as",1,1,"1"
"add comments",1,1,"1"
"add csv from ui",1,1,"1"
"add database in sql",1,1,"1"
"add ghe connectivity to prod workspace",1,1,"1"
"add ip address to allow list",1,1,"1"
"add ip to allow list",1,1,"1"
"add ip to allow list on shard003.cloud.databricks.com",1,1,"1"
"add user",1,1,"1"
"add user to support tickets",1,1,"1"
"add user to workspace",1,1,"1"
"add watcher",1,1,"1"
"adding .jar using init script",1,1,"1"
"adding a user to accounts.cloud.databricks.com",1,1,"1"
"adding libraries using databricks connect",1,1,"1"
"adding service principals to group",1,1,"1"
"adding users through okta resets group entitlements",1,1,"1"
"additional configuration needed on sql analyitics cluster",1,1,"1"
"additional exam questions",1,1,"1"
"additional topic to this s-f 00158380",1,1,"1"
"adf",1,1,"1"
"admin access lost",1,1,"1"
"admin account console sso",1,1,"1"
"admin automatic assigning",1,1,"1"
"admin cannot access ganglia ui in sandard cluster with passthrough [2206220050001608]",1,1,"1"
"admin change",1,1,"1"
"admin users can't login",1,1,"1"
"advana databricks pvc v3.68 upgrade issues",1,1,"1"
"advanced diagnostic information",1,1,"1"
"advanced search",1,1,"1"
"advice for getting adls gen2 container size on databricks",1,1,"1"
"advise on the steps to deploy a model stored in databricks registery in aci",1,1,"1"
"advisory support call",1,1,"1"
"after application restart the job spark ui/logs becomes grayed out and not accessible.",1,1,"1"
"after updating cluster policy spark environment variable, not able to update existing job",1,1,"1"
"aggregate",1,1,"1"
"aircanada - 2206280030002105 - databricks job failures with ""no space left on device""",1,1,"1"
"aircanada - workspace",1,1,"1"
"airflow dags not working when vpn is connected",1,1,"1"
"airflow<>databricks prod http issue",1,1,"1"
"akash.bhat@databricks.com",1,1,"1"
"alais in dlt",1,1,"1"
"alert",1,1,"1"
"alert emails not being sent",1,1,"1"
"alias",1,1,"1"
"all biogen databricks workspaces are down",1,1,"1"
"all clusters in dev environment suddenly failing with bootstrap timeouts",1,1,"1"
"all e2 environments are down.",1,1,"1"
"all envs down with following error",1,1,"1"
"all jobs are failing",1,1,"1"
"all jobs are failing with this new error message",1,1,"1"
"all jobs failing on shard",1,1,"1"
"all jobs in dx2 shard fail as cancelled",1,1,"1"
"all purpose cluster - hangs",1,1,"1"
"all purpose cluster slow on gcp",1,1,"1"
"all scheduled jobs failed this morning & could not start any all-purpose clusters",1,1,"1"
"all users were logged out of databricks workspace and cannot log in",1,1,"1"
"all webui is down",1,1,"1"
"all workflows (jobs) fail immediately with an error message",1,1,"1"
"all-purpose cluster is taking very long to terminate",1,1,"1"
"allocation failed",1,1,"1"
"allocationfailed error | 2204080010002210 | gep",1,1,"1"
"allow access to shutterfly workspace",1,1,"1"
"allow access to workspace",1,1,"1"
"allow auto user creation",1,1,"1"
"alter",1,1,"1"
"alter database  set location",1,1,"1"
"alter feature store",1,1,"1"
"alter group issues",1,1,"1"
"alter table statement failing with configurationinvalid fs.azure.account.key",1,1,"1"
"altim group",1,1,"1"
"ambiguous columns in join operation",1,1,"1"
"ami",1,1,"1"
"ami naming for spark clusters",1,1,"1"
"aml databricksstep failed to submit job to databricks",1,1,"1"
"an error occurred while calling o567.getresult",1,1,"1"
"an error occurred while enumerating the result, check the original exception for details.",1,1,"1"
"an error with streaming",1,1,"1"
"analysis",1,1,"1"
"analysisexception cannot create table",1,1,"1"
"analysisexception: no such struct field id",1,1,"1"
"analysisexception: undefined function: count spark sql",1,1,"1"
"analytics",1,1,"1"
"analytics cluster driver became unresponsive to to gc errors",1,1,"1"
"analyze tables in database",1,1,"1"
"anomalous increase in execution time",1,1,"1"
"another iam exception",1,1,"1"
"anti-virus",1,1,"1"
"any change to the vpc caused databricks terraform to recreate databricks_group_instance_profile and databricks_group_member",1,1,"1"
"any command line or api to replace jar file name in the job?",1,1,"1"
"apache certified 3.0",1,1,"1"
"apache spark associate developer accreditation",1,1,"1"
"apache spark executor memory allocation",1,1,"1"
"apache spark programming - dataframes videos do not work - academy lesson.",1,1,"1"
"api authentication",1,1,"1"
"api calls to dev servicenow from dev databricks are failing with  'user not authenticated' error",1,1,"1"
"api documentation",1,1,"1"
"api endpoint serviceprincipals is extremely slow",1,1,"1"
"api failure for library installation",1,1,"1"
"api health check on nike-ae-hopper.cloud.databricks.com",1,1,"1"
"api returned an unexpected response: 503",1,1,"1"
"api/sql interface to retrieve and terminate long running workloads on interactive clusters",1,1,"1"
"apparent bug in to_timestamp function",1,1,"1"
"append exception",1,1,"1"
"append to existing table with delta live tables",1,1,"1"
"appending parameters to job runs",1,1,"1"
"apt get install not working",1,1,"1"
"aqe",1,1,"1"
"architecture",1,1,"1"
"arda sandbox cluster is not getting started",1,1,"1"
"are gcm cipher suites enabled by default now?_azure china_2205190010000432",1,1,"1"
"argument passed to 'stream' is not supported",1,1,"1"
"arr",1,1,"1"
"arr  = 2202250030001786/ nielseniq coke mastertrack - cluster failure",1,1,"1"
"arr (s500) || aholddelhaize.com || 2206160060001800 || cluster launch failure",1,1,"1"
"arr (s500) || suncor energy inc || 2206150010003640 || internal_error: an internal error occurred during workspace initialization",1,1,"1"
"arr -  2205240040005232 - slow performance on photon cluster",1,1,"1"
"arr -  com.databricks.service.sparkserviceconnectionexception: invalid shard address: ""https://uksouth.azuredatabricks.net/",1,1,"1"
"arr - 2202250030001786 - nielseniq coke mastertrack - cluster failure",1,1,"1"
"arr - 2203180040004316 - walmart - powerbi connectivity to sql endpoint failing with aad",1,1,"1"
"arr - 2204140040007176 - credit-suisse - disable cmk on databricks workspace",1,1,"1"
"arr - 2204210040011633 - delta table write to storage hanging for hours with no errors in logs",1,1,"1"
"arr - 2204210040012860 - at&t -loading maps failing",1,1,"1"
"arr - 2204220010001158 -blobserviceclient importerror: cannot import name 'paramspec' from 'typing_extensions'",1,1,"1"
"arr - 2204220010001255 - americanairlines - job cancellation failing instead cancelling",1,1,"1"
"arr - 2204290040005232 - servicio de administración tributaria - spark job hung for over 6 hours",1,1,"1"
"arr - 2205030030001177",1,1,"1"
"arr - 2206030030001551 - deloitte - cluster hung during terminate state",1,1,"1"
"arr - 2206220040007394/issue with reading a response from databricks api",1,1,"1"
"arr - adobe - 2204080010004175 - increase jobs rest api data retention limits",1,1,"1"
"arr - approx 400 users are not able to login to  both dev and sit adb workspaces",1,1,"1"
"arr - at&t - 2204220040003095 - cluster provisioning failures",1,1,"1"
"arr - at&t - 2204280040000761 - unknown instance type messages in the log",1,1,"1"
"arr - at&t - 2204290040002695 - databricks job failing with sockettimeout error",1,1,"1"
"arr - at&t - 2205030040006573 - disk expansion with jobs",1,1,"1"
"arr - atabricks notebook issues with photon in runtime 10.4 lts",1,1,"1"
"arr - att - invalid fs.azure.account.key error - while trying to save data to adls container from databricks- 2205180040008310",1,1,"1"
"arr - att : failed to establish a new connection: [errno 110] connection timed out'))  : 2204110040003935",1,1,"1"
"arr - bp - 2204040040008424 - sqlconnect on npip workspace is failing",1,1,"1"
"arr - codelco - 2204280040004711 - high data ingestion from eventhubs with no change in messages",1,1,"1"
"arr - connection with tableau",1,1,"1"
"arr - cummins - 2203310030003446 - job hung from 5 months",1,1,"1"
"arr - customer cannot start up clusters",1,1,"1"
"arr - customer getting cluster termination in eastus 2206210030001985",1,1,"1"
"arr - customer getting error on gui when viewing all purpose cluster",1,1,"1"
"arr - customer would like access to private preview feature - private workspaces",1,1,"1"
"arr - cvshealth - 2204050040008980 - databricks job failures",1,1,"1"
"arr - databricks interal storageaccount and redundancy level-",1,1,"1"
"arr - error in the concurrency of jobs (n runids of the same jobsid) that need to call the rest api to the endpoint update and then run-now",1,1,"1"
"arr - ey - 2205200040005272 - databricks jobs failed",1,1,"1"
"arr - failure to launch databricks fro adf - subscriptionrequeststhrottled exceeded the backend storage limit",1,1,"1"
"arr - ganglia metrics not loading in linux machine",1,1,"1"
"arr - gap - 2205200010002443 - diagnostics logs are not available",1,1,"1"
"arr - intermittent error in ml workspace while run/rerun a ml pipeline with databricksstep",1,1,"1"
"arr - job in production taking 5 hours",1,1,"1"
"arr - jobs timing out",1,1,"1"
"arr - log4j 1.2.17 version cve-2019-17571 - in 9.1 lts runtime",1,1,"1"
"arr - mtr - 2205140060000097 - libraries failing to install but shows as installed",1,1,"1"
"arr - nba - 2205120040006710 - data processing is failing",1,1,"1"
"arr - not being able to open folder structures from storage",1,1,"1"
"arr - numerous driver is up but is not responsive, likely due to gc.",1,1,"1"
"arr - recover deleted cluster",1,1,"1"
"arr - sev a - cluster terminated.reason:azure vm extension failure",1,1,"1"
"arr - sev a - databricks notebook is stuck",1,1,"1"
"arr - sev a dbutils.fs.ls taking long to execute and returns 503 error",1,1,"1"
"arr - sev b  - customer not able to run job in dbr 10.x",1,1,"1"
"arr - slowness in delta tables",1,1,"1"
"arr - sql code not working in 10.4",1,1,"1"
"arr - sql using a cte that runs fine in databricks runtime 9.1 lts photon, but gives an error in 10.4 lts photon",1,1,"1"
"arr - uhg - 2204160040000471 - parse_url failing with % at the end of url",1,1,"1"
"arr - walmart - 2204080030002206 - rca - job failure",1,1,"1"
"arr - walmart - 2204080030002206 - rca - job failure on azure databricks workspace",1,1,"1"
"arr - write txt file with headers in the datalake from databricks",1,1,"1"
"arr - z-tech - 2204020040000988 - waf deployment with azure databricks",1,1,"1"
"arr -att- unable to set up external metastore with aad only enabled on the sql metastore- 2205300040000140",1,1,"1"
"arr 2203030050000273 -  customer wants to understand failures and retries on spark tasks",1,1,"1"
"arr 2204110050002238  - not able to connect to databricks cli using aad token",1,1,"1"
"arr 2204110050002238 - update repos not working",1,1,"1"
"arr 2204130050000446  genie",1,1,"1"
"arr 2205040030001503 | empty 4b delta files generation",1,1,"1"
"arr 2205180010001040 - customer's workspace is slow",1,1,"1"
"arr 2205200040003030 - jobs running slow",1,1,"1"
"arr 2205230050000756 - databricks jobs stopped",1,1,"1"
"arr 2206010010001042  -  job failing intermittently when writting to job metadata",1,1,"1"
"arr 2206020060002171- job started failing after dbr upgrade",1,1,"1"
"arr 2206030030000842 - spark timeout failure",1,1,"1"
"arr 2206030030000851 - spark streaming job fails randomly",1,1,"1"
"arr 2206060030001835 - dbr 10.1 reads metastore while dbr9.3 don't",1,1,"1"
"arr 2206150030002085 - job started getting slow",1,1,"1"
"arr 2206220040005881 - spark udf using ray works on dbr9.1 but not on dbr10.4",1,1,"1"
"arr 2206230030000787 - count descriptancy in between read and write operation",1,1,"1"
"arr air canada - jobs randomly failing with module not found.",1,1,"1"
"arr american airlines - customer requests assisance removing duplicates in delta table.",1,1,"1"
"arr customer adobe - access privileges to jobs api (read only)",1,1,"1"
"arr customer aholddelhaize.com : issue - jobs taking long",1,1,"1"
"arr customer air canada - databricks job aborted",1,1,"1"
"arr customer air canada: issue - random dns failures occurring when using the azure firewall using dns proxy enabled, which is azure dns.",1,1,"1"
"arr customer altria: databricks repos sync issues from azure devops",1,1,"1"
"arr customer barracuda - autoloader in databricks automatically defaults to abfss instead of wabs",1,1,"1"
"arr customer chevron - consultation on databricks performance",1,1,"1"
"arr customer chicago trading company: issue - databricks clusters are inaccessible",1,1,"1"
"arr customer chicago trading company: issue - unable to access clusters.",1,1,"1"
"arr customer cibcpte - azure sql procedure execution in databricks notebook failing",1,1,"1"
"arr customer cibcpte - stored sql procedure not working",1,1,"1"
"arr customer credit suisse: issues using databricks connect in their analysis workspace when using intellij.",1,1,"1"
"arr customer credit swiss - unable to run notebooks",1,1,"1"
"arr customer cummins - not able to run scala scripts on 10.4 lts",1,1,"1"
"arr customer cummins: issue -  trying to use import pandas_profiling (pandas-profiling · pypi) but it is failing",1,1,"1"
"arr customer cvs: issue - unable to grant read/list permission to databricks service principal to keyvault, key not found",1,1,"1"
"arr customer daimler ag: issue - workspace not performing correctly",1,1,"1"
"arr customer engie: issue - problems accessing databricks workspace",1,1,"1"
"arr customer ford direct: issue - problem using spark r",1,1,"1"
"arr customer geico - nosuchmethoderror exception suspect to be the classpath issue",1,1,"1"
"arr customer giliead sciences: issue - module os has no attribute pathlike",1,1,"1"
"arr customer jnj: ganglia ui is not working & metrics are not accessible.",1,1,"1"
"arr customer myfedex - i am encountering an error during cluster launch or creation",1,1,"1"
"arr customer navy federal: issue - problem downloading models from the spark nlp library",1,1,"1"
"arr customer nbc universal: issue writing from blob storage to azure synapse dw",1,1,"1"
"arr customer nestle: issue -  time out error - org.apache.spark.sparkexception: environment directory not found at /local_disk0/",1,1,"1"
"arr customer nestle: jobs failing with environment directory not found",1,1,"1"
"arr customer rogers inc: unable to deploy clusters",1,1,"1"
"arr customer safeway: databricks workspace is intermittently inaccessible. this affects them logging into the workspace and attempting to start their notebooks. the main screen loads, but selecting a query fails to bring up that query.",1,1,"1"
"arr customer safeway: issue - th customer has an issue where the databricks workspace is intermittently inaccessible. this affects them logging into the workspace and attempting to start their notebooks. the main screen loads, but selecting a query fails",1,1,"1"
"arr customer starbucks: issue - intermittent issues during auto scaling.",1,1,"1"
"arr customer starbucks: issue - job failed with exception thrown in awaitresult",1,1,"1"
"arr customer starbucks: issue - problems initiating cluster upsize",1,1,"1"
"arr customer uniparks: issue - databricks to storage/synapse connection issue",1,1,"1"
"arr customer vca in: issue - unable to deploy databricks clusters",1,1,"1"
"arr customer: aa - job failing in databricks with concurrent read error",1,1,"1"
"arr customer: deloitte - unable to access databricks cluster",1,1,"1"
"arr customer: gap - issues launching databricks clusters.",1,1,"1"
"arr customer: geico - issue with cluster",1,1,"1"
"arr customer: helmerich & payne, inc. - databricks cluster driver is unhealthy",1,1,"1"
"arr customer: lidl - cluster terminated.reason:azure resource provider throttling",1,1,"1"
"arr customer: mgm resorts - failure in running python script in databricks",1,1,"1"
"arr customer: st joseph - job stuck running",1,1,"1"
"arr customer: st joseph - there is an issue with databricks. we are not able to run any queries in databricks workspace",1,1,"1"
"arr customer: st joseph - there is an issue with databricks. we are not able to run any queries in databricks workspace.",1,1,"1"
"arr customer: td bank - ingestion failures in production",1,1,"1"
"arr customer: unilever - unable to access adb environment",1,1,"1"
"arr customer: uniparks - databricks to storage/synapse connection issue",1,1,"1"
"arr genie access",1,1,"1"
"arr s500 | 2205040030001107 | jobs api issues",1,1,"1"
"arr sev a -    occproductupcconsumer job failure",1,1,"1"
"arr sev a - customer not able to create repo in databricks workspace",1,1,"1"
"arr sev a | 2206300030000564 - spark job failing with metastore issue",1,1,"1"
"arr sev.a 2205120030001265",1,1,"1"
"arr ubs - unable to deploy the workspace with cmk for notebook using the arm template provided by databrick",1,1,"1"
"arr |  2203090040006252 | follow up to 00137308",1,1,"1"
"arr |  data issue on enabling photon",1,1,"1"
"arr |  duplication during delta lake merge",1,1,"1"
"arr |  gc allocation failure |",1,1,"1"
"arr |  job reported time longer than sum of individual cells | 2204190030002165",1,1,"1"
"arr |  nielseniq coke mastertrack - cluster failure",1,1,"1"
"arr |  optimize delta load |  optimize delta load",1,1,"1"
"arr |  t-mobile usa | job stuck at create df | sr: 2205020040000453",1,1,"1"
"arr |  | 2205130040004443",1,1,"1"
"arr | 2203210050001428 | scroll bars are not working in firefox",1,1,"1"
"arr | 2203280010003072 | analyze log analytics logs for activities from databricks notebook",1,1,"1"
"arr | 2203290030003204 | question about the behavior of scim provisioning with aad (preview)",1,1,"1"
"arr | 2204040050000751 | is there a max limit to number of global tables per workspace?",1,1,"1"
"arr | 2204060050000469 | installing python packages fails",1,1,"1"
"arr | 2204070010002917 | does notebooktask in job api support adls paths?",1,1,"1"
"arr | 2204080030000725 | api to attach notebook to cluster",1,1,"1"
"arr | 2204080030001938 | workspace creation is failing | standard chartered bank",1,1,"1"
"arr | 2204080050001186 | databricks cluster failure with message cause null",1,1,"1"
"arr | 2204110030000436 - cluster starting time is took longer time than usual",1,1,"1"
"arr | 2204110040002270 | request access to databricks secrets using dbutils",1,1,"1"
"arr | 2204130030001643 | the job is failing to run multiple notebooks in the same job",1,1,"1"
"arr | 2204140030000156 | the job in adf pipeline needed to cancel due to taking longer than expected.",1,1,"1"
"arr | 2204140030001728 |  jsondecodeerror: expecting value: line 1 column 1 (char 0) when parsing the bytes object",1,1,"1"
"arr | 2204160050000039 | unable to use allocated quota on databricks job",1,1,"1"
"arr | 2204170050000058 | oracle connectivity issue",1,1,"1"
"arr | 2204180030000346 | gep | job failed intermittently with cluster doesn't exist",1,1,"1"
"arr | 2204210050004881 | load sql server data into databricks",1,1,"1"
"arr | 2204220060001879 |",1,1,"1"
"arr | 2204250060001035 | error with union command saying object of type 'nonetype' has no len() only in dbr  9.1 lts",1,1,"1"
"arr | 2204260030001644 | grant access control to mount point",1,1,"1"
"arr | 2204260030002207 |  run result unavailable: job failed with error message unexpected failure while waiting for the cluster (0426-153040-3azvvay4) to be ready.cause cluster 0426-153040-3azvvay4 is unusable since the driver is unhealthy",1,1,"1"
"arr | 2204260030002207 | genie",1,1,"1"
"arr | 2204270030002047 - [needs ist support] resource accidental deletion",1,1,"1"
"arr | 2204280030000731 - delta lake ingestion from spark structured streaming is taking more time",1,1,"1"
"arr | 2204280040001718 | cluster node are getting lost | jnj",1,1,"1"
"arr | 2204280040006201 | reading data from snowflake connection",1,1,"1"
"arr | 2204280060001053 | genie",1,1,"1"
"arr | 2204290030001039 - we are not able find log who deleted the databricks cluster",1,1,"1"
"arr | 2205040040003792 | metastore operations with adls gen2 conf",1,1,"1"
"arr | 2205100040004471 | unexpected failure while waiting for the cluster | jnj",1,1,"1"
"arr | 2205100050002215 | jobs are failing even after adding dependent libs | gsk",1,1,"1"
"arr | 2205110030001559 | genie",1,1,"1"
"arr | 2205110030001559 | please help find instanceid/vmid",1,1,"1"
"arr | 2205120030000229 | was there any change recently in databricks in regard to installing libraries when running a job from adf",1,1,"1"
"arr | 2205140060000097 | job aborted due to stage failure in databricks sql",1,1,"1"
"arr | 2205160030000400 | clusters are not starting | sc",1,1,"1"
"arr | 2205160030001741 | azureadauthenticator.gettokencall threw java.net.sockettimeoutexception : read timed",1,1,"1"
"arr | 2205160030001890 | genie",1,1,"1"
"arr | 2205160040000885 - resource pool management",1,1,"1"
"arr | 2205160040000885 - resource pool management | feature request",1,1,"1"
"arr | 2205160050001904 | cluster tasks were cancelled",1,1,"1"
"arr | 2205180050001892 | unable to access to history of the specific delta table",1,1,"1"
"arr | 2205190030001487 | a user is unable to access to the sql editor even with permission.",1,1,"1"
"arr | 2205200030001371 | job intermittently failing with unexpected_exception | jnj",1,1,"1"
"arr | 2205200040002676 - databricks overwatch proxy configuration issue",1,1,"1"
"arr | 2205200050000441 | databricks security and compliance",1,1,"1"
"arr | 2205210030000268 - adls service principal based access in databricks for shell usage",1,1,"1"
"arr | 2205230030000498 - databricks_api_issue",1,1,"1"
"arr | 2205230030001082 | is access to the delta table using adls credential passthrough with sql endpoints supported?",1,1,"1"
"arr | 2205230040005172 | library installation issue",1,1,"1"
"arr | 2205250060001495 |  pointsbet | outage | unable to start clusters",1,1,"1"
"arr | 2205260030002175 - we are facing socket timeout issues (connection refused) in pyspark while trying to perform the below operation",1,1,"1"
"arr | 2205260040001988 | workspace folders were deleted in production",1,1,"1"
"arr | 2205270010001206 - unity catalog: unable to create an external table at an external location.",1,1,"1"
"arr | 2205270030000850 - slowness in job",1,1,"1"
"arr | 2205310030001011 - databrick cloud provider error",1,1,"1"
"arr | 2206010060001610 | need help to set up gen1 debug log | follow up 00129075",1,1,"1"
"arr | 2206070030000680 - cluster unresponsive due to garbage collector",1,1,"1"
"arr | 2206070030000680 - databricks linux transformation is failing",1,1,"1"
"arr | 2206070040000816| delta live table not refreshing",1,1,"1"
"arr | 2206080030002199 - the cluster is not able to autoscale as per requirment.",1,1,"1"
"arr | 2206080050000999 | ml libraries are not installing | gsk",1,1,"1"
"arr | 2206080050002070 | spark streaming query not restarting from checkpoint",1,1,"1"
"arr | 2206090030000397 | databricks vacuum dry run result incorrect",1,1,"1"
"arr | 2206100050002271 | issue with delta table storage",1,1,"1"
"arr | 2206130030001354 | any ways to run defined udfs or attach jars to run udfs in databricks sql",1,1,"1"
"arr | 2206130050001255 | provide read permissions to all jobs running on job clusters",1,1,"1"
"arr | 2206140010002101 | file pruning is not happening for sql queries | inmobi",1,1,"1"
"arr | 2206160060001294 | request to increase job quota to 1500 in the workspace",1,1,"1"
"arr | 2206160060001434 | adb is not working | unilever",1,1,"1"
"arr | 2206160060001444 - executors get assigned but they do nothing (idle) for most of the time on databricks sql",1,1,"1"
"arr | 2206170030001002 | databricks job is failing with error: importerror",1,1,"1"
"arr | 2206170050000549 | taking too long loading the ui or submitting any command",1,1,"1"
"arr | 2206210030000382 - looking for advisory on 6.4-esr",1,1,"1"
"arr | 2206210030000948 - the driver memory gets and full never gets free",1,1,"1"
"arr | 2898246923673559 | 503 server unavailable for rpc lost when calling /api/2.0/clusters/start",1,1,"1"
"arr | 404 error on sql endpoint  | 2206030030000803",1,1,"1"
"arr | adobe | databricks notebook task parse failure using databricks airflow submit run operator|  2206090010002339",1,1,"1"
"arr | aia | databricks ssl cert expire date | sr: 2204070060000837",1,1,"1"
"arr | aircanada | we need explanation why init script or job dependent libraries are recommended for modulenotfound error",1,1,"1"
"arr | american airlines | cluster launch failed due to unexpected_launch_failure(service_fault) | sr - 2206070010000054",1,1,"1"
"arr | analysisexception: undefined function: ""concat"" this functions is neither a registerd | 2206090030000308",1,1,"1"
"arr | at&t | 2204140040007011 | mlflow registory fails to register model when 9.1 lts non ml cluster is used.",1,1,"1"
"arr | at&t | delta tables showing latest partition alone",1,1,"1"
"arr | at&t | getting this error 'org.apache.hadoop.fs.unsupportedfilesystemexception: no filesystem for scheme",1,1,"1"
"arr | at&t | unable to open the model artifact file from function app using python script",1,1,"1"
"arr | azure databricks error  : id token is not yet valid. make sure your computer's time and time zone are both correct.| 2206090050002728",1,1,"1"
"arr | blackrock-onealaddin| restapi using access token+management token not working for workspace enabled private endpoint| sr:2205190030000177",1,1,"1"
"arr | citrix | need help change the cluster owner | sr:2205250060000952",1,1,"1"
"arr | cluster is in pending state forever | 2204070050000281 | uhg",1,1,"1"
"arr | continuation of 00138590 |cluster failed due to driver unhealthy error - 2203150040007744",1,1,"1"
"arr | customers are not able to create repo in databricks workspace | 2206230040006798 | at&t",1,1,"1"
"arr | cve reports - potential security issue in db runtime 7.3 and 9.1|2206100040004623",1,1,"1"
"arr | databricks insertinto is behaving differently when run from our application vs notebook",1,1,"1"
"arr | databricks job deleted automatically | 2205250030001931",1,1,"1"
"arr | databricks job running slow | 2205030040003955",1,1,"1"
"arr | databricks permissions issue",1,1,"1"
"arr | databricks spark ui show completed jobs as active jobs",1,1,"1"
"arr | delta table question | 2204220050000908",1,1,"1"
"arr | enable dbutils.secrets.get | 2205310050001908",1,1,"1"
"arr | error while conneting the databricks to powerbi/tableau/pyodbc etc | 2206240040006482",1,1,"1"
"arr | exception when doing a vacuum| 2204290050000799",1,1,"1"
"arr | exception when using guave version 23  | 2206210030000985",1,1,"1"
"arr | exception: a master url must be set in your configuration | 2204280030001723",1,1,"1"
"arr | follow up case - 00180734",1,1,"1"
"arr | follow-up sf 00182159 | 2206090030000397 | databricks vacuum dry run result incorrect",1,1,"1"
"arr | gap | job cluster with specific pool launch fail with array index error. | sr: 2205030010000748",1,1,"1"
"arr | gap| error accessing feature store in a remote workspace | 2205090010004670",1,1,"1"
"arr | genie access",1,1,"1"
"arr | genie | 2205110050002089",1,1,"1"
"arr | genie | cluster launch is failing and getting successful on retry - 2204190040007896",1,1,"1"
"arr | genie | cluster not terminated due to inactivity - 2205020040004681",1,1,"1"
"arr | genie | databricks lost connectivity to ftp2.ups.com - 2203290040006520",1,1,"1"
"arr | genie | intermittent databricks errors in the pipeline - 2203210010002555",1,1,"1"
