,label_0,freq_0,label_1,freq_1,label_2,freq_2,label_3,freq_3,label_4,freq_4,label_5,freq_5
60,"('Superconducting properties of Cu intercalated Bi$_2$Se$_3$ studied by Muon Spin Spectroscopy', 'Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface', 'Anisotropy and multiband superconductivity in Sr2RuO4', 'High-$T_\\textrm {C}$ superconductivity in Cs$_3$C$_{60}$ compounds governed by local Cs-C$_{60}$ Coulomb interactions', 'Superconductivity at 7.3 K in the 133-type Cr-based RbCr3As3 single crystals', 'Suppression of the superconductivity in ultrathin amorphous Mo$_{78}$Ge$_{22}$ thin films observed by STM')",6.0,"('Complete Cyclic Proof Systems for Inductive Entailments', 'Intuitionistic Layered Graph Logic: Semantics and Proof Theory', 'Integrating a Global Induction Mechanism into a Sequent Calculus', 'Model enumeration in propositional circumscription via unsatisfiable core analysis', 'Small Resolution Proofs for QBF using Dependency Treewidth', 'Fitch-Style Modal Lambda Calculi')",6,"('Infinitary first-order categorical logic', 'Mutual Interpretability of Robinson Arithmetic and Adjunctive Set Theory with Extensionality', 'Term Models of Horn Clauses over Rational Pavelka Predicate Logic')",5.0,"('Adversarial Examples: Opportunities and Challenges', 'Adversarial Attacks on Neural Networks for Graph Data', 'Gradient Masking Causes CLEVER to Overestimate Adversarial Perturbation Size', 'On the Robustness of the CVPR 2018 White-Box Adversarial Example Defenses', 'Ensemble Methods as a Defense to Adversarial Perturbations Against Deep Neural Networks', 'A Dynamic-Adversarial Mining Approach to the Security of Machine Learning', 'Adversarial classification: An adversarial risk analysis approach', 'Handling Adversarial Concept Drift in Streaming Data', 'Detecting Adversarial Examples via Key-based Network')",5.0,"('$\\mathcal{R}_{0}$ fails to predict the outbreak potential in the presence of natural-boosting immunity', 'Expected Time to Extinction of SIS Epidemic Model Using Quasy Stationary Distribution')",5.0,"('Dimensional Analysis in Economics: A Study of the Neoclassical Economic Growth Model', 'Growth, Industrial Externality, Prospect Dynamics and Well-being on Markets', 'Will a Large Economy Be Stable?', 'The role of complex analysis in modeling economic growth')",4.0
61,"('Superconducting properties of Cu intercalated Bi$_2$Se$_3$ studied by Muon Spin Spectroscopy', 'Tuning across the BCS-BEC crossover in the multiband superconductor Fe$_{1+y}$Se$_x$Te$_{1-x}$ : An angle-resolved photoemission study', 'Yu-Shiba-Rusinov bands in superconductors in contact with a magnetic insulator', 'Analysis and mitigation of interface losses in trenched superconducting coplanar waveguide resonators', 'Non-degenerate parametric resonance in tunable superconducting cavity', 'Multiband Superconductivity in the time reversal symmetry broken superconductor Re6Zr', 'Suppression of the superconductivity in ultrathin amorphous Mo$_{78}$Ge$_{22}$ thin films observed by STM')",5.0,"('A Berkeley View of Systems Challenges for AI', 'Forecasting Transformative AI: An Expert Survey')",5,"(""Jacob's ladders, crossbreeding in the set of $ζ$-factorization formulas and selection of families of $ζ$-kindred real continuous functions"", ""A question proposed by K. Mahler on exceptional sets of transcendental functions with integer coefficients: solution of a Mahler's problem"")",4.0,"('U-SLADS: Unsupervised Learning Approach for Dynamic Dendrite Sampling', 'Learning to Draw Samples with Amortized Stein Variational Gradient Descent')",5.0,"('Recurrent Deep Embedding Networks for Genotype Clustering and Ethnicity Prediction', 'Analysis of Extremely Obese Individuals Using Deep Learning Stacked Autoencoders and Genome-Wide Genetic Data')",5.0,"('Fast swaption pricing in Gaussian term structure models', 'Quantifying the Model Risk Inherent in the Calibration and Recalibration of Option Pricing Models')",4.0
62,"('Role of Vanadyl Oxygen in Understanding Metallic Behavior of V2O5(001) Nanorods', 'Oxygen reduction mechanisms in nanostructured La0.8Sr0.2MnO3 cathodes for Solid Oxide Fuel Cells')",5.0,"('Robustness against the channel effect in pathological voice detection', 'Binaural Source Localization based on Modulation-Domain Features and Decision Pooling', 'Modality Attention for End-to-End Audio-visual Speech Recognition', 'Listen to Your Face: Inferring Facial Action Units from Audio Channel')",5,"('On A Conjecture Regarding Permutations Which Destroy Arithmetic Progressions', 'More new classes of permutation trinomials over $\\mathbb{F}_{2^n}$')",4.0,"('Flexible Deep Neural Network Processing', 'Binary Ensemble Neural Network: More Bits per Network or More Networks per Bit?')",5.0,"(""The Bayesian optimist's guide to adaptive immune receptor repertoire analysis"", 'Predicting B Cell Receptor Substitution Profiles Using Public Repertoire Data')",5.0,"('Dimensional Analysis in Economics: A Study of the Neoclassical Economic Growth Model', 'Will a Large Economy Be Stable?')",4.0
63,"('Revisiting (logarithmic) scaling relations using renormalization group', 'Vibrational Density Matrix Renormalization Group')",5.0,"('A Continuous Relaxation of Beam Search for End-to-end Training of Neural Sequence Models', 'Extracting Automata from Recurrent Neural Networks Using Queries and Counterexamples')",5,"('Marcel Riesz on Nörlund Means', ""La notion d'involution dans le Brouillon Project de Girard Desargues"", 'Variations on a Visserian Theme')",4.0,"('How Robust are Deep Neural Networks?', 'Global Robustness Evaluation of Deep Neural Networks with Provable Guarantees for the $L_0$ Norm')",5.0,"('Strong deformations of DNA: Effect on the persistence length', 'Short DNA persistence length in a mesoscopic helical model')",5.0,"('Multi-channel discourse as an indicator for Bitcoin price and volume movements', 'The Price of BitCoin: GARCH Evidence from High Frequency Data')",4.0
64,"('Pr$_2$Ir$_2$O$_7$: when Luttinger semimetal meets Melko-Hertog-Gingras spin ice state', 'Holon Wigner Crystal in a Lightly Doped Kagome Quantum Spin Liquid')",5.0,"('Deep Person Re-Identification with Improved Embedding and Efficient Training', 'Learning Efficient Image Representation for Person Re-Identification')",5,"('Best polynomial approximation on the triangle', 'Polygons with prescribed edge slopes: configuration space and extremal points of perimeter', 'Dehn invariant of flexible polyhedra', '$G 1$-smooth splines on quad meshes with 4-split macro-patch elements', 'Any cyclic quadrilateral can be inscribed in any closed convex smooth curve')",4.0,"('Oracle Importance Sampling for Stochastic Simulation Models', 'Resampling Strategy in Sequential Monte Carlo for Constrained Sampling Problems')",5.0,"('Fluid-Structure Interaction for the Classroom: Interpolation, Hearts, and Swimming!', 'Modeling human intuitions about liquid flow with particle-based simulation')",5.0,"('An Expanded Local Variance Gamma model', 'Affine forward variance models')",4.0
65,"('Making Sense of Physics through Stories: High School Students Narratives about Electric Charges and Interactions', 'Value added or misattributed? A multi-institution study on the educational benefit of labs for reinforcing physics content')",5.0,"('Adaptive local surface refinement based on LR NURBS and its application to contact', 'Landau Collision Integral Solver with Adaptive Mesh Refinement on Emerging Architectures')",5,"('A 2-edge partial inverse problem for the Sturm-Liouville operators with singular potentials on a star-shaped graph', 'Fundamental solutions for Schr\x7fodinger operators with general inverse square potentials')",4.0,"('Discontinuous Hamiltonian Monte Carlo for discrete parameters and discontinuous likelihoods', 'Stability of Conditional Sequential Monte Carlo')",5.0,"('Deep Learning for micro-Electrocorticographic (μECoG) Data', 'Anticipating epileptic seizures through the analysis of EEG synchronization as a data classification problem')",5.0,"('Exploring the Interconnectedness of Cryptocurrencies using Correlation Networks', 'Multi-channel discourse as an indicator for Bitcoin price and volume movements', 'Multivariate stable distributions and their applications for modelling cryptocurrency-returns', 'The Price of BitCoin: GARCH Evidence from High Frequency Data')",4.0
66,"('Low energy bands and transport properties of chromium arsenide', 'Ab initio calculations of the concentration dependent band gap reduction in dilute nitrides')",5.0,"('A supervised approach to time scale detection in dynamic networks', 'Detecting Topological Changes in Dynamic Community Networks')",5,"('Distributive Aronszajn trees', 'New simple lattices in products of trees and their projections')",4.0,"('Adversarial Examples: Opportunities and Challenges', 'Gradient Masking Causes CLEVER to Overestimate Adversarial Perturbation Size', 'On the Robustness of the CVPR 2018 White-Box Adversarial Example Defenses', 'Ensemble Methods as a Defense to Adversarial Perturbations Against Deep Neural Networks', 'Handling Adversarial Concept Drift in Streaming Data', 'Detecting Adversarial Examples via Key-based Network')",5.0,"('Social versus Moral preferences in the Ultimatum Game: A theoretical model and an experiment', 'Doing good vs. avoiding bad in prosocial choice: A refined test and extension of the morality preference hypothesis', 'Can justice be fair when it is blind? How social network structures can promote or prevent the evolution of despotism')",5.0,"('Failure of Smooth Pasting Principle and Nonexistence of Equilibrium Stopping Rules under Time-Inconsistency', 'Strong and Weak Equilibria for Time-Inconsistent Stochastic Control in Continuous Time')",4.0
67,"('Semisuper Efimov effect of two-dimensional bosons at a three-body resonance', 'Influence of broken-pair excitations on the exact pair wavefunction')",5.0,"('An Extended Low Fat Allocator API and Applications', 'The microarchitecture of a multi-threaded RISC-V compliant processing core family for IoT end-nodes', 'CODA: Enabling Co-location of Computation and Data for Near-Data Processing')",5,"('Local methods for blocks of finite simple groups', 'The depth of a finite simple group')",4.0,"('Ranking with Adaptive Neighbors', 'Approximate Ranking from Pairwise Comparisons', 'Learning Certifiably Optimal Rule Lists for Categorical Data')",5.0,"('Dynamic constraints on activity and connectivity during the learning of value', 'Complexity of human response delay in intermittent control: The case of virtual stick balancing', 'A model of reward-modulated motor learning with parallelcortical and basal ganglia pathways')",5.0,"('Practical volume computation of structured convex bodies, and an application to modeling portfolio dependencies and financial crises', 'Fast mean-reversion asymptotics for large portfolios of stochastic volatility models')",4.0
68,"('Asymmetric Mach-Zehnder atom interferometers', 'Improving the phase response of an atom interferometer by means of temporal pulse shaping', 'New concepts of inertial measurements with multi-species atom interferometry', 'Highly sensitive atomic based MW interferometry')",5.0,"('Minor-free graphs have light spanners', 'L-Graphs and Monotone L-Graphs')",5,"('An energy method for rough partial differential equations', 'Fourth-order time-stepping for stiff PDEs on the sphere')",4.0,"('Adversarial Examples: Opportunities and Challenges', 'On the Robustness of the CVPR 2018 White-Box Adversarial Example Defenses', 'Detecting Adversarial Examples via Key-based Network')",5.0,"('The clock of chemical evolution', 'The origin and early evolution of life in chemical complexity space')",5.0,"('Exploring the nuances in the relationship ""culture-strategy"" for the business world', 'Shattering the glass ceiling? How the institutional context mitigates the gender gap in entrepreneurship')",4.0
69,"('Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface', 'Anisotropy and multiband superconductivity in Sr2RuO4')",5.0,"('Adaptive Model Predictive Control for High-Accuracy Trajectory Tracking in Changing Conditions', 'Real-Time Model Predictive Control for Energy Management in Autonomous Underwater Vehicle', 'Model-Based Control Using Koopman Operators')",5,"(""Neeman's characterization of K(R-Proj) via Bousfield localization"", 'Vanishing theorems for the negative K-theory of stacks')",4.0,"('Mixtures of Skewed Matrix Variate Bilinear Factor Analyzers', 'Gaussian Parsimonious Clustering Models with Covariates')",5.0,"('Cellular function given parametric variation: excitability in the Hodgkin-Huxley model', 'Collective irregular dynamics in balanced networks of leaky integrate-and-fire neurons')",5.0,"('Aggressive Economic Incentives and Physical Activity: The Role of Choice and Technology Decision Aids', 'Internal migration and education: A cross-national comparison')",4.0
70,"('Radio variability and non-thermal components in stars evolving toward planetary nebulae', 'Abundances in photoionized nebulae of the Local Group and nucleosynthesis of intermediate mass stars')",5.0,"('Coherence for lenses and open games', 'Representing Hybrid Automata by Action Language Modulo Theories', 'Abstract Interpretation with Unfoldings')",5,"('The curl operator on odd-dimensional manifolds', 'Equivariant Schrödinger maps from two dimensional hyperbolic space')",4.0,"('A Data-Driven Supply-Side Approach for Measuring Cross-Border Internet Purchases', ""Putin's peaks: Russian election data revisited"")",5.0,"('Solving a non-linear model of HIV infection for CD4+T cells by combining Laplace transformation and Homotopy analysis', 'Mathematical model of immune response to hepatitis B', 'Analysis of bacterial population growth using extended logistic growth model with distributed delay')",5.0,"('Investigating the configurations in cross-shareholding: a joint copula-entropy approach', 'Consumption smoothing in the working-class households of interwar Japan')",4.0
71,"('Network of vertically c-oriented prism shaped InN nanowalls grown on c-GaN/sapphire template by chemical vapor deposition technique', 'Dynamic control of the optical emission from GaN/InGaN nanowire quantum dots by surface acoustic waves')",5.0,"('Building a Structured Query Engine', 'Improved Query Reformulation for Concept Location using CodeRank and Document Structures')",5,"(""Contiguous Relations, Laplace's Methods and Continued Fractions for 3F2(1)"", 'Supercongruences between truncated ${}_3F_2$ hypergeometric series')",4.0,"('Predicting Oral Disintegrating Tablet Formulations by Neural Network Techniques', 'Graph Convolutional Policy Network for Goal-Directed Molecular Graph Generation')",5.0,"('Joint Atlas-Mapping of Multiple Histological Series combined with Multimodal MRI of Whole Marmoset Brains', 'Analyzing biological and artificial neural networks: challenges with opportunities for synergy?')",5.0,"('Spatial risk measures and rate of spatial diversification', 'Investigating the configurations in cross-shareholding: a joint copula-entropy approach')",4.0
72,"('High temperature thermodynamics of the honeycomb-lattice Kitaev-Heisenberg model: A high temperature series expansion study', 'Quantum Monte Carlo simulation of a two-dimensional Majorana lattice model')",5.0,"('Out-degree reducing partitions of digraphs', 'Minor-free graphs have light spanners', 'L-Graphs and Monotone L-Graphs')",5,"('A new complete Calabi-Yau metric on $\\mathbb{C}^3$', 'Automorphisms and deformations of conformally Kähler, Einstein-Maxwell metrics')",4.0,"('Likelihood ratio test for variance components in nonlinear mixed effects models', 'Advanced Bayesian Multilevel Modeling with the R Package brms')",5.0,"('A Deep Learning Approach with an Attention Mechanism for Automatic Sleep Stage Classification', 'What deep learning can tell us about higher cognitive functions like mindreading?')",5.0,"('Kinetic Theory for Finance Brownian Motion from Microscopic Dynamics', 'Target volatility option pricing in lognormal fractional SABR model')",4.0
73,"('Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface', 'Anisotropy and multiband superconductivity in Sr2RuO4', 'High-$T_\\textrm {C}$ superconductivity in Cs$_3$C$_{60}$ compounds governed by local Cs-C$_{60}$ Coulomb interactions', 'Superconductivity at 7.3 K in the 133-type Cr-based RbCr3As3 single crystals')",5.0,"('Parallelism, Concurrency and Distribution in Constraint Handling Rules: A Survey', 'Constraints, Lazy Constraints, or Propagators in ASP Solving: An Empirical Analysis')",5,"('Defining Equations of Nilpotent Orbits for Borel Subgroups of Modality Zero in Type $A_{n}$', 'Parabolic subgroup orbits on finite root systems')",4.0,"('Predictive and Prescriptive Analytics for Location Selection of Add-on Retail Products', 'Bias Correction For Paid Search In Media Mix Modeling')",5.0,"('Simulating Brain Signals: Creating Synthetic EEG Data via Neural-Based Generative Models for Improved SSVEP Classification', 'Optimizing deep video representation to match brain activity')",5.0,"('Integrating electricity markets: Impacts of increasing trade on prices and emissions in the western United States', 'Extended opportunity cost model to find near equilibrium electricity prices under non-convexities', 'Token Economics in Energy Systems: Concept, Functionality and Applications', 'Econometric modelling and forecasting of intraday electricity prices')",4.0
74,"('Performance of a small size telescope (SST-1M) camera for gamma-ray astronomy with the Cherenkov Telescope Array', 'Airborne gamma-ray spectroscopy for modeling cosmic radiation and effective dose in the lower atmosphere')",5.0,"('Inter-Session Modeling for Session-Based Recommendation', 'An Exploration of Approaches to Integrating Neural Reranking Models in Multi-Stage Ranking Architectures')",5,"('Semi-extraspecial groups with an abelian subgroup of maximal possible order', ""Cherlin's conjecture for almost simple groups of Lie rank 1"")",4.0,"('Computationally Efficient Estimation of the Spectral Gap of a Markov Chain', 'Dissipativity Theory for Accelerating Stochastic Variance Reduction: A Unified Analysis of SVRG and Katyusha Using Semidefinite Programs', 'Asymptotic Properties of Recursive Maximum Likelihood Estimation in Non-Linear State-Space Models', 'Estimate exponential memory decay in Hidden Markov Model and its applications')",5.0,"('Mathematical model of immune response to hepatitis B', 'Analysis of bacterial population growth using extended logistic growth model with distributed delay')",5.0,"('Are multi-factor Gaussian term structure models still useful? An empirical analysis on Italian BTPs', 'Replica Analysis for Maximization of Net Present Value')",4.0
75,"('Spin mediated enhanced negative magnetoresistance in Ni80Fe20 and p-silicon bilayer', 'Bias voltage effects on tunneling magnetoresistance in Fe/MgAl${}_2$O${}_4$/Fe(001) junctions: Comparative study with Fe/MgO/Fe(001) junctions', 'Carrier driven coupling in ferromagnetic oxide heterostructures')",5.0,"('Privacy-Preserving Deep Inference for Rich User Data on The Cloud', 'Collect at Once, Use Effectively: Making Non-interactive Locally Private Learning Possible')",5,"('The maximum of the 1-measurement of a metric measure space', 'An example related to the slicing inequality for general measures')",4.0,"('Efficient Online Bandit Multiclass Learning with $\\tilde{O}(\\sqrt{T})$ Regret', 'Bayesian adaptive bandit-based designs using the Gittins index for multi-armed trials with normally distributed endpoints', 'Learning Robust Options', 'A Scale Free Algorithm for Stochastic Bandits with Bounded Kurtosis', 'Optimal Stopping for Interval Estimation in Bernoulli Trials', 'A General Framework of Multi-Armed Bandit Processes by Arm Switch Restrictions', 'Optimal Learning for Sequential Decision Making for Expensive Cost Functions with Stochastic Binary Feedbacks', 'Semiparametric Contextual Bandits')",5.0,"('BOLD5000: A public fMRI dataset of 5000 images', 'Computational and informatics advances for reproducible data analysis in neuroimaging', 'Deep Learning for micro-Electrocorticographic (μECoG) Data', 'Interpretable LSTMs For Whole-Brain Neuroimaging Analyses', 'Simulating Brain Signals: Creating Synthetic EEG Data via Neural-Based Generative Models for Improved SSVEP Classification', 'Seemless Utilization of Heterogeneous XSede Resources to Accelerate Processing of a High Value Functional Neuroimaging Dataset', 'Optimizing deep video representation to match brain activity', 'Anticipating epileptic seizures through the analysis of EEG synchronization as a data classification problem', 'MEG-Derived Functional Tractography, Results for Normal and Concussed Cohorts')",5.0,"('Exploring the nuances in the relationship ""culture-strategy"" for the business world', 'Academic Engagement and Commercialization in an Institutional Transition Environment: Evidence from Shanghai Maritime University')",4.0
76,"('Morphological characterization of Ge ion implanted SiO2 matrix using multifractal technique', 'Near-field coupling of gold plasmonic antennas for sub-100 nm magneto-thermal microscopy')",5.0,"('Adaptive Diffusion Processes of Time-Varying Local Information on Networks', 'A supervised approach to time scale detection in dynamic networks', 'Detecting Topological Changes in Dynamic Community Networks', 'Dynamic Laplace: Efficient Centrality Measure for Weighted or Unweighted Evolving Networks')",5,"('On some polynomials and series of Bloch-Polya Type', 'Tropical formulae for summation over a part of SL(2, Z)', 'Identities and congruences involving the Fubini polynomials', 'Continued Fractions and $q$-Series Generating Functions for the Generalized Sum-of-Divisors Functions', 'LCA(2), Weil index, and product formula')",4.0,"('Learning Policy Representations in Multiagent Systems', 'CM3: Cooperative Multi-goal Multi-stage Multi-agent Reinforcement Learning', 'A Multi-Objective Deep Reinforcement Learning Framework', 'Deep Reinforcement Learning based Optimal Control of Hot Water Systems')",5.0,"('BOLD5000: A public fMRI dataset of 5000 images', 'Seemless Utilization of Heterogeneous XSede Resources to Accelerate Processing of a High Value Functional Neuroimaging Dataset')",5.0,"('Failure of Smooth Pasting Principle and Nonexistence of Equilibrium Stopping Rules under Time-Inconsistency', 'Systems of ergodic BSDE arising in regime switching forward performance processes')",4.0
77,"('A System of Three Super Earths Transiting the Late K-Dwarf GJ 9827 at Thirty Parsecs', 'The LCES HIRES/Keck Precision Radial Velocity Exoplanet Survey')",5.0,"('Robustness against the channel effect in pathological voice detection', 'Binaural Source Localization based on Modulation-Domain Features and Decision Pooling')",5,"('A Globally Linearly Convergent Method for Pointwise Quadratically Supportable Convex-Concave Saddle Point Problems', 'A simplicial decomposition framework for large scale convex quadratic programming')",4.0,"('Adversarial Examples: Opportunities and Challenges', 'Gradient Masking Causes CLEVER to Overestimate Adversarial Perturbation Size', 'On the Robustness of the CVPR 2018 White-Box Adversarial Example Defenses', 'Ensemble Methods as a Defense to Adversarial Perturbations Against Deep Neural Networks', 'Detecting Adversarial Examples via Key-based Network')",5.0,"('Collective Dynamics of Self-propelled Semiflexible Filaments', 'Metachronal motion of artificial magnetic cilia')",5.0,"('Closed-form approximations in derivatives pricing: The Kristensen-Mele approach', 'Option Pricing in Illiquid Markets with Jumps')",4.0
78,"('An analytic resolution to the competition between Lyman-Werner radiation and metal winds in direct collapse black hole hosts', 'Linking High-Energy Cosmic Particles by Black-Hole Jets Embedded in Large-Scale Structures')",5.0,"('Deep Multi-User Reinforcement Learning for Distributed Dynamic Spectrum Access', 'Decentralization of Multiagent Policies by Learning What to Communicate')",5,"('Effective Asymptotic Formulae for Multilinear Averages of Multiplicative Functions', 'Exponential Bounds for the Erdős-Ginzburg-Ziv Constant')",4.0,"('Efficient Online Bandit Multiclass Learning with $\\tilde{O}(\\sqrt{T})$ Regret', 'Bayesian adaptive bandit-based designs using the Gittins index for multi-armed trials with normally distributed endpoints', 'Learning Robust Options', 'A Scale Free Algorithm for Stochastic Bandits with Bounded Kurtosis', 'Semiparametric Contextual Bandits')",4.0,"('The self-referring DNA and protein: a remark on physical and geometrical aspects', 'End-to-end distance and contour length distribution functions of DNA helices', 'Determinants of cyclization-decyclization kinetics of short DNA with sticky ends')",5.0,"('The Broad Consequences of Narrow Banking', 'Will a Large Economy Be Stable?')",4.0
79,"('Exciting Nucleons in Compton Scattering and Hydrogen-Like Atoms', 'Multielectronic processes in particle and antiparticle collisions with rare gases')",5.0,"('Width Hierarchies for Quantum and Classical Ordered Binary Decision Diagrams with Repeated Test', 'Unbalancing Sets and an Almost Quadratic Lower Bound for Syntactically Multilinear Arithmetic Circuits')",5,"('Homogenization of nonlinear elliptic systems in nonreflexive Musielak-Orlicz spaces', 'Estimates for solutions of Dirac equations and an application to a geometric elliptic-parabolic problem')",4.0,"('Robust and Efficient Boosting Method using the Conditional Risk', 'Enhanced version of AdaBoostM1 with J48 Tree learning method', 'Finding Influential Training Samples for Gradient Boosted Decision Trees')",4.0,"('Interactions mediated by a public good transiently increase cooperativity in growing Pseudomonas putida metapopulations', 'Nutrients and biomass dynamics in photo-sequencing batch reactors treating wastewater with high nutrients loadings', 'Modeling Oral Multispecies Biofilm Recovery After Antibacterial Treatment')",5.0,"('Aggressive Economic Incentives and Physical Activity: The Role of Choice and Technology Decision Aids', ""Geert Hofstede et al's set of national cultural dimensions - popularity and criticisms"", 'Advertising and Brand Attitudes: Evidence from 575 Brands over Five Years')",4.0
80,"('Forecasting the Impact of Stellar Activity on Transiting Exoplanet Spectra', 'Centroid vetting of transiting planet candidates from the Next Generation Transit Survey')",5.0,"('Complete Cyclic Proof Systems for Inductive Entailments', 'Integrating a Global Induction Mechanism into a Sequent Calculus', 'Fitch-Style Modal Lambda Calculi')",5,"('An evaluation homomorphism for quantum toroidal gl(n) algebras', 'Heisenberg Modules over Quantum 2-tori are metrized quantum vector bundles', 'Multiplicative slices, relativistic Toda and shifted quantum affine algebras')",4.0,"('Nearly Optimal Robust Subspace Tracking', 'Robust Subspace Learning: Robust PCA, Robust Subspace Tracking, and Robust Subspace Recovery')",4.0,"('Exploring the Psychological Basis for Transitions in the Archaeological Record', 'Fading of collective attention shapes the evolution of linguistic variants', 'The Dynamics of Norm Change in the Cultural Evolution of Language')",5.0,"('Generalizing Geometric Brownian Motion', 'Transition probability of Brownian motion in the octant and its application to default modeling', 'Option Pricing Models Driven by the Space-Time Fractional Diffusion: Series Representation and Applications', 'The sum of log-normal variates in geometric Brownian motion', 'Kinetic Theory for Finance Brownian Motion from Microscopic Dynamics', 'On the martingale property in the rough Bergomi model')",4.0
81,"('SPIRou Input Catalog: Activity, Rotation and Magnetic Field of Cool Dwarfs', 'When flux standards go wild: white dwarfs in the age of Kepler')",5.0,"('GraphCombEx: A Software Tool for Exploration of Combinatorial Optimisation Properties of Large Graphs', 'Three hypergraph eigenvector centralities')",5,"('Galois descent of semi-affinoid spaces', 'Conservativity of realizations on motives of abelian type over finite fields')",4.0,"('COPA: Constrained PARAFAC2 for Sparse & Large Datasets', 'A Bootstrap Lasso + Partial Ridge Method to Construct Confidence Intervals for Parameters in High-dimensional Sparse Linear Models')",4.0,"('Anticipating Persistent Infection', 'Who is the infector? Epidemic models with symptomatic and asymptomatic cases', 'On the scaling patterns of infectious disease incidence in cities', 'The Impact of Information Dissemination on Vaccinating Epidemics in Multiplex Networks', 'Vulnerability to pandemics in a rapidly urbanizing society', 'Epidemiological impact of waning immunization on a vaccinated population', 'Early warning signals in plant disease outbreaks')",5.0,"('Incremental Sharpe and other performance ratios', 'Dynamic Advisor-Based Ensemble (dynABE): Case Study in Stock Trend Prediction of Critical Metal Companies', 'Discovering Bayesian Market Views for Intelligent Asset Allocation')",4.0
82,"('Quasiparticles and charge transfer at the two surfaces of the honeycomb iridate Na$_2$IrO$_3$', 'Width-tuned magnetic order oscillation on zigzag edges of honeycomb nanoribbons')",5.0,"('Mitigation of Phase Noise in Massive MIMO Systems: A Rate-Splitting Approach', 'Jamming-Resistant Receivers for the Massive MIMO Uplink')",5,"('Relative Singularity Categories', 'Double Homotopy (Co)Limits for Relative Categories')",4.0,"('AFT*: Integrating Active Learning and Transfer Learning to Reduce Annotation Efforts', 'Deep Bayesian Active Learning for Natural Language Processing: Results of a Large-Scale Empirical Study')",4.0,"('Species tree inference from genomic sequences using the log-det distance', 'The agreement distance of rooted phylogenetic networks', 'Geometric comparison of phylogenetic trees with different leaf sets', 'The phylogenetic effective sample size and jumps', 'Impossibility results on stability of phylogenetic consensus methods', 'Multi-SpaM: a Maximum-Likelihood approach to Phylogeny reconstruction based on Multiple Spaced-Word Matches', 'Combinatorial views on persistent characters in phylogenetics')",4.0,"('Integrating electricity markets: Impacts of increasing trade on prices and emissions in the western United States', 'Extended opportunity cost model to find near equilibrium electricity prices under non-convexities', 'Token Economics in Energy Systems: Concept, Functionality and Applications', 'The equivalence of two tax processes')",4.0
83,"('Probing valley filtering effect by Andreev reflection in zigzag graphene nanoribbon', 'Network of vertically c-oriented prism shaped InN nanowalls grown on c-GaN/sapphire template by chemical vapor deposition technique', 'Strong and broadly tunable plasmon resonances in thick films of aligned carbon nanotubes', 'Dynamic control of the optical emission from GaN/InGaN nanowire quantum dots by surface acoustic waves')",5.0,"('Learning Normalized Inputs for Iterative Estimation in Medical Image Segmentation', 'Improvement of training set structure in fusion data cleaning using Time-Domain Global Similarity method')",5,"('Semi-simplicial spaces', 'Asymptotic measures and links in simplicial complexes')",4.0,"('Gaussian process classification using posterior linearisation', 'Parametric Gaussian Process Regression for Big Data')",4.0,"('Effects of atrial fibrillation on the arterial fluid dynamics: a modelling perspective', 'Fluid-Structure Interaction for the Classroom: Interpolation, Hearts, and Swimming!', 'Modelling thermo-electro-mechanical effects in orthotropic cardiac tissue', 'Modeling human intuitions about liquid flow with particle-based simulation')",4.0,"(""Are Bitcoin Bubbles Predictable? Combining a Generalized Metcalfe's Law and the LPPLS Model"", 'Exploring the Interconnectedness of Cryptocurrencies using Correlation Networks', 'Corruption-free scheme of entering into contract: mathematical model', 'Multi-channel discourse as an indicator for Bitcoin price and volume movements', 'PROOF OF VALUE ALIENATION (PoVA) - a concept of a cryptocurrency issuance protocol', 'Herding behavior in cryptocurrency markets', 'Supporting Crowd-Powered Science in Economics: FRACTI, a Conceptual Framework for Large-Scale Collaboration and Transparent Investigation in Financial Markets', 'Multivariate stable distributions and their applications for modelling cryptocurrency-returns', 'The Price of BitCoin: GARCH Evidence from High Frequency Data', 'Atomic Swaptions: Cryptocurrency Derivatives', 'Economic Implications of Blockchain Platforms')",3.0
